ID,Name,Package
0,Live Events Channel,Pay-per-view
100,Virgin Media Previews HD,Mixit
101,BBC One HD,Mixit
102,BBC Two HD,Mixit
103EW,ITV1 HD,Mixit
103N,UTV HD,Mixit
103S,STV HD,Mixit
104ESN,Channel 4 HD,Mixit
104W,S4C HD,Mixit
105,Channel 5 HD,Mixit
106,E4 HD,Mixit
107EN,BBC Three HD,Mixit
107WS,BBC Four HD,Mixit
108EN,BBC Four HD,Mixit
108S,BBC Scotland HD,Mixit
108W,Channel 4 HD,Mixit
110,Sky Witness HD,Entertainment
111,Sky Max HD,Maxit
112,Sky Comedy HD,Maxit
114EW,ITV1 +1,Mixit
114N,UTV +1,Mixit
114S,STV +1,Mixit
115,ITV2 HD,Entertainment
116,ITV2 +1,Mixit
117,ITV3 HD,Entertainment
118,ITV4 HD,Entertainment
119,ITVBe HD,Entertainment
120EWN,ITVBe +1,Mixit
120S,BBC Alba HD,Mixit
121,Sky Crime HD,Maxit
122,Sky Sci-Fi HD,Maxit
123,Sky Arts HD,Maxit
124,Gold HD,Entertainment
125,W HD,Mixit
126,Alibi HD,Drama
127,Dave HD,Mixit
128,Really,Mixit
129,Yesterday HD,Mixit
130,Drama HD,Mixit
131,Dave +1,Mixit
132,Comedy Central HD,Entertainment
133,Comedy Central +1,Entertainment
134,MTV HD,Lifestyle
135,Pick,Mixit
139,Challenge,Mixit
140,Sky Arts,Mixit
142W,Channel 4 +1,Mixit
143,4seven HD,Mixit
146,E4 +1,Mixit
147,More4 HD,Entertainment
148,CBS Reality,Mixit
149,Legend,Mixit
150,5ACTION HD,Mixit
151,5STAR,Mixit
152,5SELECT,Mixit
153,5USA,Mixit
154,Comedy Central Extra,Lifestyle
155,Channel 5 +1,Mixit
156,Sky Replay,Drama
157WS,BBC Three HD,Mixit
159,Regional channels,Mixit
160,E! HD,Maxit
161EWN,BBC Alba HD,Mixit
162EWN,BBC Scotland HD,Mixit
162S,ITVBe +1,Mixit
163,Sky Witness +1,Entertainment
164,Sky Crime +1,Lifestyle
166ESN,S4C HD,Mixit
167,TLC HD,Lifestyle
168,Investigation Discovery,Documentaries
169,Quest HD,Mixit
170,Quest Red,Mixit
171,DMAX,Documentaries
172,TLC +1,Lifestyle
173,Investigation Discovery +1,Documentaries
174,ITV3 +1,Mixit
175,ITV4 +1,Mixit
185,5USA +1,Mixit
186,5STAR +1,Mixit
189,GREAT! tv,Mixit
190,W +1,Mixit
191,Alibi +1,Drama
192,HorrorXtra,Mixit
194,Gold +1,Entertainment
196,More4 +1,Mixit
197,RealityXtra,Mixit
198,Crime + Investigation HD,Documentaries
199,Blaze,Mixit
204,Netflix,Premium
205,Amazon Prime Video,Premium
213,Quest +1,Mixit
214,DMAX +1,Documentaries
217,Yesterday +1,Mixit
218,CBS Reality +1,Mixit
219,HorrorXtra +1,Mixit
222,Crime + Investigation +1,Documentaries
226,Drama +1,Mixit
228,Virgin TV Ultra HD,Maxit
245,Eden HD,Documentaries
246,Eden +1,Documentaries
250,Discovery HD,Documentaries
251,Animal Planet HD,Documentaries
252,Discovery Science,Documentaries
256,Discovery Turbo,Documentaries
257,Discovery History,Documentaries
258,Discovery +1,Documentaries
259,Animal Planet +1,Documentaries
260,Discovery Science +1,Documentaries
261,Discovery History +1,Documentaries
265,National Geographic Wild HD,Documentaries
266,National Geographic HD,Documentaries
267,National Geographic +1,Documentaries
269,Together TV,Mixit
270,Sky History HD,Documentaries
271,Sky History +1,Documentaries
272,Sky History2 HD,Documentaries
273,PBS America,Mixit
277,Sky Documentaries HD,Maxit
278,Sky Nature HD,Maxit
285,Food Network,Mixit
286,HGTV,Mixit
290,HGTV +1,Mixit
292,God Channel,Mixit
300,New Music on Demand,Mixit
310,MTV Music,Lifestyle
311,MTV Live HD,Lifestyle
312,MTV Hits,Lifestyle
313,MTV 90s,Lifestyle
316,MTV 80s,Lifestyle
335,The Box,Lifestyle
336,4Music,Lifestyle
337,E4 Extra,Mixit
338,Kiss,Lifestyle
340,Magic,Lifestyle
342,Kerrang!,Lifestyle
344,Vevo,Mixit
345,Clubland TV,Mixit
346,NOW 70s,Mixit
347,NOW 80s,Mixit
348,NOW Rock,Mixit
400,Virgin Movies & Store,Mixit
401,Sky Cinema Premiere HD,Sky Cinema
402,Sky Cinema Feel Good HD,Sky Cinema
403,Sky Cinema Hits HD,Sky Cinema
404,Sky Cinema Greats HD,Sky Cinema
406,Sky Cinema Family HD,Sky Cinema
407,Sky Cinema Action HD,Sky Cinema
408,Sky Cinema Comedy HD,Sky Cinema
409,Sky Cinema Thriller HD,Sky Cinema
410,Sky Cinema Drama HD,Sky Cinema
411,Sky Cinema Sci Fi & Horror HD,Sky Cinema
412,Sky Cinema Animation HD,Sky Cinema
415,TCM Movies HD,Drama
417,TCM Movies +1,Drama
419,Movies 24,Drama
420,Movies 24 +1,Drama
424,GREAT! Romance,Mixit
425,GREAT! movies,Mixit
426,GREAT! movies action,Mixit
